Name,Northing,Easting,Elevation,Description,,,Date Taken
1421,5011.627726,5000.628373,99.015037,EL_D3_32_S,,,13/07/2012
1422,5012.287018,4999.901524,99.036491,EL_D3_32_W,,,13/07/2012
1423,5012.276859,5000.488056,99.017733,EL_D3_32_C,,,13/07/2012
1424,5010.262031,5000.196763,99.045725,PF_B2_32_HM308,,,13/07/2012
1425,5010.295065,5000.140973,99.034063,PF_B2_32_L1332,,,13/07/2012
1426,5012.283823,5001.183697,99.031296,PF_D2_32_C14X172,,,13/07/2012
1427,5010.023685,5000.301032,98.970675,PF_B2_32_HM309,,,13/07/2012
1428,5010.444616,5000.115206,98.988475,PF_B2_32_L1333,,,13/07/2012
1429,5011.367042,5000.765132,99.013503,PF_C2_32_L1334,,,13/07/2012
1430,5011.116601,5000.987327,99.051752,PF_C2_32_L1335,,,13/07/2012
1431,5010.773765,5000.320603,98.999329,PF_C2_32_L1336,,,13/07/2012
1432,5010.824475,4999.938008,98.999247,EL_B2_32A_N,,,13/07/2012
1433,5010.148177,5000.637283,98.963853,EL_B2_32_E,,,13/07/2012
1434,5009.423125,4999.952826,98.986077,EL_B2_32_S,,,13/07/2012
1435,5010.427896,5000.568097,99.031254,PF_C2_32_ART10,,,13/07/2012
1436,5010.80922,5000.421727,98.992776,PF_C2_32_L1337,,,13/07/2012
1437,5010.119754,5000.638253,98.946858,EL_B1_32_N,,,13/07/2012
1438,5009.348625,5000.174687,98.960184,EL_B1_32_S,,,13/07/2012
1439,5009.455887,4999.910512,98.98418,EL_B1_32_W,,,13/07/2012
1440,5011.38191,5001.113003,99.011074,PF_D2_32_ART9_N,,,13/07/2012
1441,5010.965731,5001.355764,99.038815,PF_D2_32_ART9_N,,,13/07/2012
1442,5010.733987,5000.888411,99.036382,PF_D2_32_ART9_N,,,13/07/2012
1443,5011.129057,5000.887307,99.006107,PF_D2_32_ART9_N,,,13/07/2012
1444,5010.765247,5000.830838,98.986856,PF_C2_32_L1338,,,13/07/2012
1445,5010.783293,5000.969958,99.014449,PF_C2_32_L1339,,,13/07/2012
1446,5010.400189,5000.489963,99.0012,PF_C2_32_ART11,,,13/07/2012
1447,5011.429079,5001.453702,99.015122,PF_D2_32_L1340,,,13/07/2012
1448,5011.694725,5001.792411,98.997809,PF_D2_32_L1340,,,13/07/2012
1449,5011.804659,5001.810671,98.998397,PF_D2_32A_L1341,,,13/07/2012
1450,5011.779202,5001.838721,98.996973,PF_D2_32A_L1342,,,13/07/2012
1451,5011.083075,5001.371764,99.015078,PF_D2_32A_L1343,,,13/07/2012
1452,5010.336545,5000.549448,98.964312,PF_C2_32A_L1344,,,13/07/2012
