Name,Northing,Easting,Elevation,Description,Date Taken
1701,5010.623782,5001.360658,98.936687,PF_C1_33_AXE6,16/07/2012
1702,5010.59874,5001.299854,98.939635,PF_C1_33_AXE6,16/07/2012
1703,5010.64079,5001.252801,98.94444,PF_C1_33_AXE6,16/07/2012
1704,5010.663812,5001.305713,98.918181,PF_C1_33_AXE6,16/07/2012
1705,5011.507253,4999.161672,98.603898,EL_B3_41_N,16/07/2012
1706,5010.711503,4999.790945,98.587093,EL_B3_41_E,16/07/2012
1707,5010.835025,4998.558929,98.611662,EL_B3_41_W,16/07/2012
1708,5010.832128,4999.212921,98.610741,EL_B3_41_C,16/07/2012
1709,5010.910558,4999.610342,98.57773,PF_B3_42_L1384,16/07/2012
1710,5010.961742,5001.472319,98.903751,PF_D1_34_L1385,16/07/2012
1711,5011.480207,4999.157789,98.854445,EL_B3_42_N,16/07/2012
1712,5010.918822,4999.750412,98.844275,EL_B3_42_E,16/07/2012
1713,5010.825454,4998.568677,98.859771,EL_B3_42_W,16/07/2012
1714,5010.801837,4999.179746,98.859513,EL_B3_42_C,16/07/2012
1715,5011.407347,4999.499024,98.926716,PF_C3_34_L1386,16/07/2012
1716,5011.784104,4999.822836,98.924444,PF_C3_34_L1387,16/07/2012
1717,5011.883514,5000.061202,98.90443,PF_C3_34_L1388,16/07/2012
1718,5011.39291,5002.181642,98.917925,PF_D1_34_L1389,16/07/2012
1719,5011.31738,5002.128993,98.892461,PF_D1_34_L1390,16/07/2012
1720,5011.292914,5002.045078,98.860017,PF_D1_34_L1391,16/07/2012
1721,5011.191783,5002.056276,98.878088,PF_D1_34_L1392,16/07/2012
1722,5011.034714,5001.641642,98.879314,PF_D1_34_L1393,16/07/2012
1723,5011.454452,5002.079486,98.879619,PF_D1_34_HM320,16/07/2012
1724,5012.309916,5000.587483,98.957548,PF_D3_34_L1394,16/07/2012
1725,5012.469581,5001.086474,98.933219,PF_D3_34_L1395,16/07/2012
1726,5011.551921,5000.252606,98.921459,PF_C3_34_L1396,16/07/2012
1727,5012.080985,5000.025792,98.928354,PF_C3_34_L1397,16/07/2012
1728,5011.93733,4999.642701,98.928294,PF_C3_34_L1398,16/07/2012
1729,5010.814717,4998.852784,98.526306,PF_B3_43_HM321,16/07/2012
1730,5011.494317,4999.187836,98.529286,EL_B3_43_N,16/07/2012
1731,5010.733902,4999.790992,98.506707,EL_B3_43_E,16/07/2012
1732,5010.556429,4998.867395,98.515967,EL_B3_43_W,16/07/2012
1733,5010.859224,4999.149806,98.501968,EL_B3_43_C,16/07/2012
1734,5011.386721,5002.240111,98.874872,PF_D1_34_L1399,16/07/2012
1735,5011.405725,5001.931176,98.873738,PF_D1_34_L1400,16/07/2012
1736,5011.37915,5002.112482,98.864535,PF_D1_34_L1401,16/07/2012
1737,5010.895427,5001.446778,98.876213,PF_D1_34_GS29,16/07/2012
1738,5012.26509,5000.575809,98.953538,PF_D3_34_L1402,16/07/2012
1739,5011.936062,5000.676365,98.940977,PF_D3_34_L1403,16/07/2012
1740,5011.47718,5000.287879,98.895142,PF_C3_34_L1404,16/07/2012
1741,5012.232147,4999.871626,98.91094,EL_C3_34_N,16/07/2012
1742,5011.558435,5000.55207,98.868496,EL_C3_34_E,16/07/2012
1743,5010.914893,4999.995508,98.901346,EL_C3_34_S,16/07/2012
1744,5011.512066,4999.271945,98.935376,EL_C3_34_W,16/07/2012
1745,5011.577999,4999.870131,98.899136,EL_C3_34_C,16/07/2012
1746,5011.878699,5000.530612,98.926522,PF_D3_34_HM322,16/07/2012
1747,5012.07282,5000.815845,98.891955,PF_D3_34_L1405,16/07/2012
1748,5010.448894,4999.96691,98.906639,PF_B2_34_AF16,16/07/2012
1749,5011.1244,5000.636346,98.90088,PF_C2_34_L1406,16/07/2012
1750,5011.087746,5000.344504,98.899488,PF_C2_34_L1407,16/07/2012
1751,5010.949929,5000.115889,98.927346,PF_C2_34_L1408,16/07/2012
1752,5012.124741,5000.066493,98.945273,PF_D3_34_L1409,16/07/2012
1753,5012.185184,5000.435132,98.906088,PF_D3_34_HM323,16/07/2012
1754,5010.997602,5000.609013,98.893277,PF_C2_34_C14X182,16/07/2012
1755,5012.22554,5000.045488,98.938862,PF_D3_34_L1410,16/07/2012
1756,5010.426127,5001.238671,98.854385,PF_C1_34_L1411,16/07/2012
1757,5010.351882,5001.007908,98.852125,PF_C1_34_GS30,16/07/2012
1758,5010.246249,5000.97237,98.845232,PF_C1_34_GS31,16/07/2012
1759,5010.028085,5000.989626,98.832623,PF_C1_34_HM324,16/07/2012
1760,5010.740724,5001.135868,98.862224,PF_C2_34_L1412,16/07/2012
1761,5010.83517,5001.195495,98.892178,PF_C2_34_L1413,16/07/2012
1762,5010.790379,5001.159066,98.863936,PF_C2_34_L1414,16/07/2012
1763,5010.963268,5000.302142,98.893798,PF_C2_34_GS32,16/07/2012
1764,5011.29179,5000.756164,98.902407,PF_C2_34_HM325,16/07/2012
1765,5011.068615,5000.842989,98.904104,PF_C2_34_HM326,16/07/2012
1766,5012.918492,5000.488774,98.923445,EL_D3_34_N,16/07/2012
1767,5012.363313,5001.166834,98.904617,EL_D3_34_E,16/07/2012
1768,5011.628191,5000.546072,98.884683,EL_D3_34_S,16/07/2012
1769,5012.275936,4999.892236,98.918197,EL_D3_34_W,16/07/2012
1770,5012.325497,5000.617051,98.910356,EL_D3_34_C,16/07/2012
1771,5010.691765,5001.236753,98.890474,PF_C1_34_ART12,16/07/2012
1772,5010.481473,5001.151827,98.915359,PF_C1_34_ART13,16/07/2012
1773,5010.116794,5000.950033,98.843839,PF_C1_34_AXE7,16/07/2012
1774,5010.135039,5000.844806,98.843914,PF_C1_34_AXE8,16/07/2012
1775,5010.361506,5000.361256,98.866088,PF_B2_34_L1415,16/07/2012
1776,5010.204806,5000.184569,98.863638,PF_B2_34_L1416,16/07/2012
1777,5009.969212,5000.142388,98.887642,PF_B2_34_L1417,16/07/2012
1778,5009.75943,4999.811953,98.888534,PF_B2_34_L1418,16/07/2012
1779,5009.69393,4999.747273,98.901899,PF_B2_34_L1419,16/07/2012
1780,5009.562218,4999.808361,98.883364,PF_B2_34_O15,16/07/2012
1781,5010.12062,5000.221391,98.848171,PF_B2_34_HM327,16/07/2012
1782,5011.091636,5000.450266,98.886713,PF_C2_34A_L1420,16/07/2012
1783,5011.009663,5000.797274,98.89247,PF_C2_34A_L1421,16/07/2012
1784,5010.852583,5000.784109,98.901794,PF_C2_34A_L1422,16/07/2012
1785,5010.838302,5000.460179,98.88448,PF_C2_34A_L1423,16/07/2012
1786,5010.520601,5000.279126,98.875208,P_C2_34A_C14X183,16/07/2012
1787,5010.765951,4999.928978,98.884981,EL_B2_34A_N,16/07/2012
1788,5010.138946,5000.639801,98.8465,EL_B2_34_E,16/07/2012
1789,5009.467241,4999.918651,98.854652,EL_B2_34_S,16/07/2012
1790,5009.935879,4999.968444,98.866912,EL_B2_34_C,16/07/2012
1791,5010.443543,5000.642678,98.885614,PF_C2_34A_L1424,16/07/2012
1792,5010.395177,5000.681156,98.88407,PF_C2_34A_L1425,16/07/2012
1793,5011.530587,5001.14255,98.853893,PF_D2_34_C14X184,16/07/2012
1794,5011.55138,5000.566545,98.892991,EL_C2_34_N,16/07/2012
1795,5010.910701,4999.997003,98.899927,EL_C2_34_W,16/07/2012
1796,5010.9091,5001.254392,98.867545,EL_C2_34A_E,16/07/2012
1797,5010.235048,5000.67512,98.840389,EL_C2_34A_S,16/07/2012
1798,5011.020563,5000.534637,98.883805,EL_C2_34A_C,16/07/2012
1799,5010.88465,5001.324237,98.87035,EL_C1_34_N,16/07/2012
1800,5010.158775,5000.684307,98.852656,EL_C1_34_W,16/07/2012
1801,5010.511378,5001.602655,98.853559,EL_C1_34_E,16/07/2012
1802,5009.950723,5001.061385,98.832406,EL_C1_34_S,16/07/2012
1803,5010.889031,5001.34876,98.871641,EL_D1_34_W,16/07/2012
1804,5011.596373,5001.971095,98.872036,EL_D1_34_N,16/07/2012
1805,5011.386364,5002.248629,98.875077,EL_D1_34_E,16/07/2012
1806,5010.587068,5001.676242,98.855302,EL_D1_34_S,16/07/2012
1807,5010.118783,5000.640404,98.838929,EL_B1_34_N,16/07/2012
1808,5009.800137,5000.996422,98.818556,EL_B1_34_E,16/07/2012
1809,5009.234904,5000.170416,98.825253,EL_B1_34_S,16/07/2012
1810,5009.342333,5000.013312,98.833999,EL_B1_34_W,16/07/2012
1811,5011.461002,5001.389327,98.868903,PF_D2_34A_L1427,16/07/2012
1812,5011.662337,5001.932157,98.927509,PF_D2_34A_L1428,16/07/2012
1813,5012.331916,5001.199642,98.891573,EL_D2_34_N,16/07/2012
1814,5011.615754,5001.967893,98.864144,EL_D2_34_E,16/07/2012
1815,5010.92521,5001.306685,98.869108,EL_D2_34_S,16/07/2012
1816,5011.600663,5000.598492,98.885701,EL_D2_34_W,16/07/2012
1817,5011.678991,5001.212191,98.847458,EL_D2_34_C,16/07/2012
1818,5012.458949,5000.758791,98.883104,PF_D3_35_HM328,16/07/2012
1819,5012.343705,5000.671171,98.880911,PF_D3_35_HM329,16/07/2012
1820,5010.814171,5000.044081,98.887223,PF_C2_35_C14X185,16/07/2012
1821,5010.665046,5000.338892,98.868606,PF_C2_35_C14X186,16/07/2012
1822,5010.488286,5000.154206,98.822023,PF_B2_35A_L1429,16/07/2012
1823,5011.01904,4999.733377,98.876396,PF_35_SF53,16/07/2012
1824,5011.060494,4999.924138,98.853576,PF_35_SF53,16/07/2012
1825,5011.197924,5000.088346,98.845663,PF_35_SF53,16/07/2012
1826,5011.173807,5000.222904,98.85197,PF_35_SF53,16/07/2012
1827,5011.14554,5000.27859,98.900325,PF_35_SF53,16/07/2012
1828,5010.964596,5000.43784,98.887903,PF_35_SF53,16/07/2012
1829,5010.725367,5000.452661,98.877134,PF_35_SF53,16/07/2012
1830,5010.572992,5000.497901,98.866538,PF_35_SF53,16/07/2012
1831,5010.492003,5000.339903,98.852387,PF_35_SF53,16/07/2012
1832,5010.268015,5000.318239,98.849925,PF_35_SF53,16/07/2012
1833,5010.224475,5000.145834,98.863472,PF_35_SF53,16/07/2012
1834,5012.266335,4999.900994,98.859249,EL_C3_35_N,16/07/2012
1835,5011.576649,5000.56027,98.84515,EL_C3_35_E,16/07/2012
1836,5011.55786,4999.271491,98.890741,EL_C3_35_W,16/07/2012
1837,5011.013872,4999.997161,98.866058,EL_C3_35_S,16/07/2012
1838,5011.590592,4999.867728,98.874303,EL_C3_35_C,16/07/2012
1839,5011.684948,4999.420805,98.871004,PF_C3_35_L1430,16/07/2012
1840,5011.819213,5000.717606,98.853914,PF_C3_35_AF17,16/07/2012
1841,5012.297837,5000.597444,98.844039,PF_C3_35_AF18,16/07/2012
1842,5012.882881,5000.461579,98.845732,EL_D3_35_N,16/07/2012
1843,5012.373455,5001.160826,98.849697,EL_D3_35_E,16/07/2012
1844,5011.59404,5000.553197,98.845436,EL_D3_35_S,16/07/2012
1845,5012.300146,5000.538646,98.849897,EL_D3_35_C,16/07/2012
1846,5012.248699,4999.948695,98.836727,EL_D3_35_W,16/07/2012
1847,5011.084613,5000.818647,98.856222,PF_C2_35_L1431,16/07/2012
1848,5010.937962,5001.004032,98.838785,PF_C2_35A_L1432,16/07/2012
1849,5011.543751,5001.049387,98.841499,PF_D2_35_L1433,16/07/2012
1850,5010.101612,5000.635524,98.794552,EL_B1_35_N,16/07/2012
1851,5009.760706,5000.995499,98.760113,EL_B1_35_E,16/07/2012
1852,5009.199022,5000.180201,98.762486,EL_B1_35_S,16/07/2012
1853,5009.336168,5000.017078,98.776031,EL_B1_35_W,16/07/2012
1854,5009.577728,5000.542908,98.762108,EL_B1_35_C,16/07/2012
1855,5011.643417,5001.842426,98.810436,PF_D2_35A_L1434,16/07/2012
1856,5011.428331,5001.760208,98.814474,PF_D2_35A_L1435,16/07/2012
1857,5012.326635,5001.210193,98.853101,EL_D2_35_N,16/07/2012
1858,5011.588798,5000.5994,98.842106,EL_D2_35_W,16/07/2012
1859,5011.598829,5001.199643,98.83946,EL_D2_35_C,16/07/2012
1860,5011.645419,5001.955802,98.80547,EL_D2_35A_E,16/07/2012
1861,5010.942246,5001.312199,98.815975,EL_D2_35A_S,16/07/2012
1862,5010.756749,4985.480536,100.435038,CHECK150712,16/07/2012
1863,5010.253151,5000.777837,98.797446,PF_C1_35_HM330,16/07/2012
1864,5010.265619,5000.91535,98.835022,PF_C1_35_L1436,16/07/2012
1865,5010.795513,5000.141378,98.822652,PF_C2_35B_L1437,16/07/2012
1866,5010.693372,5000.293179,98.82831,PF_C2_35B_HM331,16/07/2012
1867,5011.562929,5000.57153,98.845828,EL_C2_35_N,16/07/2012
1868,5010.872622,5001.305391,98.810715,EL_C2_35A_E,16/07/2012
1869,5010.164358,5000.654193,98.790108,EL_C2_35A_S,16/07/2012
1870,5010.853272,5000.056093,98.829636,EL_C2_35B_W,16/07/2012
1871,5010.946335,5000.614997,98.818167,EL_C2_35_C,16/07/2012
1872,5010.77946,5001.275813,98.794611,PF_C1_35_GS34,16/07/2012
1873,5011.249419,5001.726059,98.819863,PF_D1_35_L1438,16/07/2012
1874,5010.173115,5000.940999,98.81711,PF_C1_35_L1439,16/07/2012
1875,5010.16577,5001.106921,98.803984,PF_C1_35_C14X187,16/07/2012
1876,5011.209422,5001.715199,98.821038,PF_D1_35_L1440,16/07/2012
1877,5011.149002,5001.780544,98.825933,PF_D1_35_AF19,16/07/2012
1878,5011.01025,5001.557865,98.857903,PF_D1_35_GS35,16/07/2012
1879,5011.223103,5001.784106,98.806537,PF_D1_35_L1441,16/07/2012
1880,5010.79832,5001.744536,98.835075,PF_D1_35_L1442,16/07/2012
1881,5010.666977,5001.59552,98.800764,PF_D1_35_L1443,16/07/2012
1882,5010.803307,5001.40596,98.806786,PF_D1_35_L1444,16/07/2012
1883,5010.907775,5001.346644,98.81228,PF_D1_35_L1445,16/07/2012
1884,5011.603009,5001.970589,98.809662,EL_D1_35_N,16/07/2012
1885,5010.900532,5001.348242,98.812299,EL_D1_35_W,16/07/2012
1886,5010.622131,5001.740923,98.801956,EL_D1_35_S,16/07/2012
1887,5010.403922,5001.072159,98.779099,PF_C1_35_HM332,16/07/2012
1888,5010.170499,5000.928496,98.789608,PF_C1_35_AXE7,16/07/2012
1889,5010.182875,5000.910556,98.790386,PF_C1_35_AXE7,16/07/2012
1890,5010.155409,5000.843584,98.829336,PF_C1_35_AXE7,16/07/2012
1891,5010.109307,5000.834201,98.818787,PF_C1_35_AXE7,16/07/2012
1892,5010.107243,5000.894543,98.810506,PF_C1_35_AXE7,16/07/2012
1893,5010.137869,5000.895818,98.802511,PF_C1_35_AXE7,16/07/2012
1894,5010.132523,5000.98493,98.81422,PF_C1_35_AXE8,16/07/2012
1895,5010.107072,5000.932136,98.819981,PF_C1_35_AXE8,16/07/2012
1896,5010.045388,5000.912852,98.807411,PF_C1_35_AXE8,16/07/2012
1897,5010.03114,5000.969022,98.806942,PF_C1_35_AXE8,16/07/2012
1898,5010.053661,5001.010829,98.82135,PF_C1_35_AXE8,16/07/2012
1899,5010.070273,5000.971913,98.793492,PF_C1_35_AXE8,16/07/2012
1900,5010.031281,5001.03338,98.791383,PF_C1_35_HM333,16/07/2012
1901,5010.602552,5001.211979,98.78523,PF_C1_35_GS37,16/07/2012
1902,5010.880419,5001.323156,98.812647,EL_C1_35_N,16/07/2012
1903,5010.558983,5001.66385,98.801619,EL_C1_35_E,16/07/2012
1904,5009.877299,5001.046975,98.76911,EL_C1_35_S,16/07/2012
1905,5010.122662,5000.681068,98.78849,EL_C1_35_W,16/07/2012
1906,5010.175419,5001.305769,98.785567,EL_C1_35_C,16/07/2012
1907,5013.554239,5001.407814,100.597699,NE_SECT_MS_1,16/07/2012
1908,5013.555135,5001.407281,100.579807,NE_SECT_MS_2,16/07/2012
1909,5013.551727,5001.409993,100.558026,NE_SECT_MS_3,16/07/2012
1910,5013.559217,5001.390551,100.536505,NE_SECT_MS_4,16/07/2012
1911,5013.553166,5001.394808,100.514996,NE_SECT_MS_5,16/07/2012
1912,5013.551922,5001.389318,100.498835,NE_SECT_MS_6,16/07/2012
1913,5013.551948,5001.389913,100.478499,NE_SECT_MS_7,16/07/2012
1914,5013.552076,5001.391007,100.458206,NE_SECT_MS_8,16/07/2012
1915,5013.546823,5001.392386,100.436087,NE_SECT_MS_9,16/07/2012
1916,5013.531039,5001.410139,100.418197,NE_SECT_MS_10,16/07/2012
1917,5013.532204,5001.407386,100.40061,NE_SECT_MS_11,16/07/2012
1918,5013.532823,5001.406576,100.381154,NE_SECT_MS_12,16/07/2012
1919,5013.527857,5001.409752,100.360385,NE_SECT_MS_13,16/07/2012
1920,5013.526198,5001.411599,100.338544,NE_SECT_MS_14,16/07/2012
1921,5013.524205,5001.410013,100.319534,NE_SECT_MS_15,16/07/2012
1922,5013.519848,5001.409569,100.298793,NE_SECT_MS_16,16/07/2012
1923,5013.517902,5001.408557,100.280859,NE_SECT_MS_17,16/07/2012
1924,5013.517554,5001.408268,100.260325,NE_SECT_MS_18,16/07/2012
1925,5013.515194,5001.408425,100.240573,NE_SECT_MS_19,16/07/2012
1926,5013.514727,5001.41063,100.221521,NE_SECT_MS_20,16/07/2012
1927,5013.511081,5001.411964,100.199454,NE_SECT_MS_21,16/07/2012
1928,5013.511869,5001.412122,100.180536,NE_SECT_MS_22,16/07/2012
1929,5013.511836,5001.41426,100.162092,NE_SECT_MS_23,16/07/2012
1930,5013.509878,5001.413075,100.144032,NE_SECT_MS_24,16/07/2012
1931,5013.506063,5001.41442,100.120533,NE_SECT_MS_25,16/07/2012
1932,5013.507258,5001.412869,100.101853,NE_SECT_MS_26,16/07/2012
