Name,Northing,Easting,Elevation,Description,Description_2,Square,Spit,Plotted_Find,PF,Number,,,
392,5010.657797,4998.786045,100.566973,PF_B3_5_HB54,Plotted Finds,B3,5,Human Bone,HB,54,,,
419,5011.126479,5000.165709,100.560397,PF_C2_5_HB55,Plotted Finds,C2,5,Human Bone,HB,55,,,
421,5010.89369,4999.942892,100.493818,PF_C2_5_HB56,Plotted Finds,C2,5,Human Bone,HB,56,,,
422,5012.499959,4999.748313,100.558663,PF_D4_5_HB57,Plotted Finds,D4,5,Human Bone,HB,57,,,
423,5012.64609,4999.616388,100.556186,PF_D4_5_HB58,Plotted Finds,D4,5,Human Bone,HB,58,,,
424,5011.321873,5000.023711,100.515919,PF_C3_5_HB53,Plotted Finds,C3,5,Human Bone,HB,53,,,
425,5011.283166,4999.791153,100.494512,PF_C3_5_HB53,Plotted Finds,C3,5,Human Bone,HB,53,,,
426,5011.374611,4999.923835,100.517174,PF_C3_5_HB59,Plotted Finds,C3,5,Human Bone,HB,59,,,
427,5011.169143,4999.942125,100.508774,PF_C3_5_HB60,Plotted Finds,C3,5,Human Bone,HB,60,,,
428,5011.178423,4999.72645,100.509159,PF_C3_5_HB61,Plotted Finds,C3,5,Human Bone,HB,61,,,
429,5011.175533,4999.720714,100.510864,PF_C3_5_HB62,Plotted Finds,C3,5,Human Bone,HB,62,,,
430,5011.701195,5000.347064,100.549776,PF_C3_5_HB63,Plotted Finds,C3,5,Human Bone,HB,63,,,
431,5011.605063,5000.361207,100.558911,PF_C3_5_HB64,Plotted Finds,C3,5,Human Bone,HB,64,,,
432,5011.658558,5000.36649,100.556428,PF_C3_5_HB65,Plotted Finds,C3,5,Human Bone,HB,65,,,
433,5011.578887,5000.403329,100.549309,PF_C3_5_HB66,Plotted Finds,C3,5,Human Bone,HB,66,,,
434,5011.470513,5000.336089,100.54719,PF_C3_5_HB67,Plotted Finds,C3,5,Human Bone,HB,67,,,
435,5010.772518,5000.286136,100.503247,PF_C2_5_HB68,Plotted Finds,C2,5,Human Bone,HB,68,,,
436,5010.717985,5000.207841,100.492245,PF_C2_5_HB68,Plotted Finds,C2,5,Human Bone,HB,68,,,
437,5011.234554,5000.270823,100.551959,PF_C2_5_HB69,Plotted Finds,C2,5,Human Bone,HB,69,,,
439,5012.694533,4999.633688,100.556686,PF_D4_5_HB70,Plotted Finds,D4,5,Human Bone,HB,70,,,
443,5011.283335,5000.166697,100.528875,PF_C3_5_HB71,Plotted Finds,C3,5,Human Bone,HB,71,,,
444,5011.971109,5000.084954,100.532852,PF_C3_5_HB72,Plotted Finds,C3,5,Human Bone,HB,72,,,
456,5011.799048,4999.905122,100.517982,PF_C3_5_HB73,Plotted Finds,C3,5,Human Bone,HB,73,,,
458,5010.926445,5000.418846,100.493746,PF_C2_5_HB74,Plotted Finds,C2,5,Human Bone,HB,74,,,
488,5011.667955,5000.355428,100.536826,PF_C3_5_HB79,Plotted Finds,C3,5,Human Bone,HB,79,,,
489,5011.726585,5000.324834,100.566815,PF_C3_5_HB80,Plotted Finds,C3,5,Human Bone,HB,80,,,
496,5012.513785,5000.200047,100.521982,PF_D3_5_HB80,Plotted Finds,D3,5,Human Bone,HB,80,,,
498,5011.260044,5000.028948,100.509737,PF_C3_5_HB81,Plotted Finds,C3,5,Human Bone,HB,81,,,
499,5011.290643,4999.987029,100.498791,PF_C3_5_HB81,Plotted Finds,C3,5,Human Bone,HB,81,,,
501,5011.913263,5000.262551,100.554515,PF_D3_5_HB82,Plotted Finds,D3,5,Human Bone,HB,82,,,
502,5011.996368,5000.931839,100.512686,PF_D2_5_HB83,Plotted Finds,D2,5,Human Bone,HB,83,,,
503,5012.108276,5000.311555,100.564906,PF_D3_5_HB84,Plotted Finds,D3,5,Human Bone,HB,84,,,
512,5011.836624,5000.448489,100.569995,PF_D3_5_HB85,Plotted Finds,D3,5,Human Bone,HB,85,,,
513,5012.032681,5000.35437,100.563342,PF_D3_5_HB86,Plotted Finds,D3,5,Human Bone,HB,86,,,
514,5011.287123,4999.616046,100.511619,PF_C3_5_HB87,Plotted Finds,C3,5,Human Bone,HB,87,,,
527,5011.065332,4999.815965,100.496672,PF_C3_5_HB88,Plotted Finds,C3,5,Human Bone,HB,88,,,
530,5011.554146,5001.382113,100.54232,PF_D2_5_HB89,Plotted Finds,D2,5,Human Bone,HB,89,,,
