Name,Easting,Northing,Elevation,Description,,Date Taken
426,4999.923835,5011.374611,100.517174,PF_C3_5_HB59,,18/06/2012
427,4999.942125,5011.169143,100.508774,PF_C3_5_HB60,,18/06/2012
428,4999.72645,5011.178423,100.509159,PF_C3_5_HB61,,18/06/2012
429,4999.720714,5011.175533,100.510864,PF_C3_5_HB62,,18/06/2012
430,5000.347064,5011.701195,100.549776,PF_C3_5_HB63,,18/06/2012
431,5000.361207,5011.605063,100.558911,PF_C3_5_HB64,,18/06/2012
432,5000.36649,5011.658558,100.556428,PF_C3_5_HB65,,18/06/2012
433,5000.403329,5011.578887,100.549309,PF_C3_5_HB66,,18/06/2012
434,5000.336089,5011.470513,100.54719,PF_C3_5_HB67,,18/06/2012
435,5000.286136,5010.772518,100.503247,PF_C2_5_HB68,,18/06/2012
436,5000.207841,5010.717985,100.492245,PF_C2_5_HB68,,18/06/2012
437,5000.270823,5011.234554,100.551959,PF_C2_5_HB69,,18/06/2012
438,5000.457979,5010.891754,100.522223,PF_C2_5_L46,,18/06/2012
439,4999.633688,5012.694533,100.556686,PF_D4_5_HB70,,18/06/2012
440,5000.37917,5011.740333,100.552606,PF_C3_5_L47,,18/06/2012
441,5000.461258,5011.699849,100.550414,PF_C3_5_L48,,18/06/2012
442,4999.901251,5012.53953,100.531641,PF_D4_5_C14X_5,,18/06/2012
443,5000.166697,5011.283335,100.528875,PF_C3_5_HB71,,18/06/2012
444,5000.084954,5011.971109,100.532852,PF_C3_5_HB72,,18/06/2012
445,5000.672424,5011.280749,100.555462,PF_C2_5_L49,,18/06/2012
446,5000.569945,5011.335754,100.559419,PF_C2_5_L49,,18/06/2012
447,5000.647604,5011.44164,100.559455,PF_C2_5_L49,,18/06/2012
448,5000.731173,5011.351759,100.549391,PF_C2_5_L49,,18/06/2012
449,5000.667493,5011.352942,100.547104,PF_C2_5_L49,,18/06/2012
450,4999.834498,5011.915939,100.549617,PF_C3_5_L50,,18/06/2012
451,4999.783721,5013.654724,100.57403,EL_D4_5_N,,18/06/2012
452,5000.428262,5013.035315,100.560369,EL_D4_5_E,,18/06/2012
453,4999.791298,5012.485138,100.547619,EL_D4_5_S,,18/06/2012
454,4999.136111,5012.932729,100.61871,EL_D4_5_W,,18/06/2012
455,4999.845029,5012.968896,100.571862,EL_D4_5_C,,18/06/2012
456,4999.905122,5011.799048,100.517982,PF_C3_5_HB73,,18/06/2012
457,5000.465551,5011.173109,100.497009,PF_C2_5_L51,,18/06/2012
458,5000.418846,5010.926445,100.493746,PF_C2_5_HB74,,18/06/2012
459,5000.677542,5013.504367,100.550701,PF_E4_5_C14X_6,,18/06/2012
460,4999.984993,5012.006398,100.564799,PF_C3_5_R4,,18/06/2012
461,4999.926681,5011.973515,100.559165,PF_C3_5_R4,,18/06/2012
462,4999.902545,5012.048284,100.560491,PF_C3_5_R4,,18/06/2012
463,4999.949472,5012.041791,100.562246,PF_C3_5_R4,,18/06/2012
464,4999.934547,5012.005043,100.53428,PF_C3_5_R4,,18/06/2012
465,5000.689139,5011.335494,100.507585,PF_C2_5_R5,,18/06/2012
466,5000.835878,5011.34751,100.535569,PF_C2_5_R5,,18/06/2012
467,5000.658322,5011.18929,100.514833,PF_C2_5_R5,,18/06/2012
468,5000.691366,5011.325745,100.508475,PF_C2_5_R5,,18/06/2012
469,5000.864836,5011.272864,100.55456,PF_C2_5_R5,,18/06/2012
470,5000.812524,5011.29206,100.614415,PF_C2_5_R5,,18/06/2012
471,5000.673908,5011.186212,100.564894,PF_C2_5_R5,,18/06/2012
472,5000.676352,5011.314682,100.535177,PF_C2_5_R5,,18/06/2012
473,5000.777391,5011.324149,100.537053,PF_C2_5_R5,,18/06/2012
474,5000.825156,5011.278558,100.551934,PF_C2_5_R5,,18/06/2012
475,5000.714623,5011.188866,100.536891,PF_C2_5_R5,,18/06/2012
476,5000.682724,5011.275247,100.504674,PF_C2_5_R5,,18/06/2012
477,5000.056114,5012.402036,100.514635,PF_D3_5_L55,,18/06/2012
478,5001.146483,5013.792943,100.550543,EL_E4_5_E,,18/06/2012
479,5000.470436,5013.075323,100.561851,EL_E4_5_S,,18/06/2012
480,4999.806135,5013.685605,100.573973,EL_E4_5_W,,18/06/2012
481,5000.502138,5013.829251,100.530614,EL_E4_5_C,,18/06/2012
482,5000.45443,5014.417621,100.538917,EL_E4_5_N,,18/06/2012
483,5000.338809,5011.572744,100.592123,PF_C3_5_L52,,18/06/2012
484,5000.339235,5011.508147,100.580761,PF_C3_5_L52,,18/06/2012
485,5000.330888,5011.584082,100.482473,PF_C3_5_L52,,18/06/2012
486,5000.329307,5011.516153,100.476867,PF_C3_5_L52,,18/06/2012
487,5000.496376,5011.642647,100.53971,PF_C3_5_L53,,18/06/2012
488,5000.355428,5011.667955,100.536826,PF_C3_5_HB79,,18/06/2012
489,5000.324834,5011.726585,100.566815,PF_C3_5_HB80,,18/06/2012
490,5000.55179,5011.591206,100.510714,EL_C2_5_N,,18/06/2012
491,5000.999993,5011.182568,100.485001,EL_C2_5_E,,18/06/2012
492,5000.30743,5010.624002,100.493636,EL_C2_5_S,,18/06/2012
493,4999.956813,5010.931282,100.485234,EL_C2_5_W,,18/06/2012
494,5000.400543,5011.04015,100.481904,EL_C2_5_C,,18/06/2012
495,5000.420619,5011.717937,100.525341,PF_C3_5_L54,,18/06/2012
496,5000.200047,5012.513785,100.521982,PF_D3_5_HB80,,18/06/2012
497,5000.889024,5011.51365,100.500015,PF_D2_5_L56,,18/06/2012
498,5000.028948,5011.260044,100.509737,PF_C3_5_HB81,,18/06/2012
499,4999.987029,5011.290643,100.498791,PF_C3_5_HB81,,18/06/2012
500,5001.028175,5011.477498,100.497157,PF_D2_5_L57,,18/06/2012
501,5000.262551,5011.913263,100.554515,PF_D3_5_HB82,,18/06/2012
502,5000.931839,5011.996368,100.512686,PF_D2_5_HB83,,18/06/2012
503,5000.311555,5012.108276,100.564906,PF_D3_5_HB84,,18/06/2012
504,5000.93279,5011.429177,100.57154,PF_D2_5_R6,,18/06/2012
