Spit,Mass,,,
21,6.65,,,
21,6.7,,,
21,6.84,,,
21,6.89,,,
21,6.9,,,
21,7.97,,,
21,8.17,,,
21,8.29,,,
21,9.23,,,
21,11.34,,,
21,13.27,,,
21,15.93,,,
21,17.09,,,
21,23.97,,,
21,27.6,,,
21,32.35,,,
21,44.71,,,
21,92.95,,,
22,1.08,,,
22,1.27,,,
22,1.37,,,
22,1.44,,,
22,1.53,,,
22,1.61,,,
22,1.75,,,
22,1.86,,,
22,1.99,,,
22,2.02,,,
22,2.97,,,
22,3.15,,,
22,3.18,,,
22,3.35,,,
22,3.49,,,
22,3.54,,,
22,3.75,,,
22,4.14,,,
22,4.64,,,
22,5.49,,,
22,6.09,,,
22,6.33,,,
22,12.782,,,
22,15.01,,,
22,23.17,,,
22,24.2,,,
23,1.19,,,
23,1.41,,,
23,1.59,,,
23,1.62,,,
23,1.73,,,
23,1.77,,,
23,1.85,,,
23,1.87,,,
23,1.9,,,
23,2.11,,,
23,2.21,,,
23,2.24,,,
23,2.36,,,
23,2.42,,,
23,2.44,,,
23,2.46,,,
23,2.53,,,
23,2.64,,,
23,2.69,,,
23,2.84,,,
23,3.08,,,
23,3.1,,,
23,3.23,,,
23,3.41,,,
23,3.43,,,
23,3.5,,,
23,3.56,,,
23,3.93,,,
23,4.07,,,
23,4.25,,,
23,4.25,,,
23,4.3,,,
23,4.38,,,
23,4.47,,,
23,4.67,,,
23,4.86,,,
23,5.17,,,
23,6.41,,,
23,7.41,,,
23,8.43,,,
23,17.52,,,
23,47.62,,,
24,1,,,
24,1.29,,,
24,1.41,,,
24,1.48,,,
24,1.49,,,
24,1.59,,,
24,1.65,,,
24,1.69,,,
24,1.71,,,
24,1.71,,,
24,1.73,,,
24,1.75,,,
24,1.83,,,
24,1.83,,,
24,1.87,,,
24,1.96,,,
24,2,,,
24,2.13,,,
24,2.4,,,
24,2.41,,,
24,2.5,,,
24,2.51,,,
24,2.56,,,
24,2.62,,,
24,2.72,,,
24,2.87,,,
24,2.88,,,
24,3.2,,,
24,3.23,,,
24,3.33,,,
24,3.49,,,
24,3.66,,,
24,3.67,,,
24,3.73,,,
24,3.77,,,
24,3.86,,,
24,3.9,,,
24,3.97,,,
24,4.22,,,
24,4.47,,,
24,4.52,,,
24,4.72,,,
24,4.86,,,
24,4.88,,,
24,4.91,,,
24,4.96,,,
24,5.05,,,
24,5.66,,,
24,6.16,,,
24,7.1,,,
24,7.2,,,
24,7.21,,,
24,7.72,,,
24,7.76,,,
24,8.03,,,
24,8.08,,,
24,8.29,,,
24,9.83,,,
24,9.95,,,
24,10.12,,,
24,11.73,,,
24,13.61,,,
24,15.24,,,
24,16.15,,,
24,16.89,,,
24,29.25,,,
24,30.48,,,
25,1.14,,,
25,1.28,,,
25,1.41,,,
25,1.42,,,
25,1.42,,,
25,1.53,,,
25,1.78,,,
25,1.79,,,
25,1.8,,,
25,1.82,,,
25,2.05,,,
25,2.08,,,
25,2.14,,,
25,2.19,,,
25,2.23,,,
25,2.32,,,
25,2.45,,,
25,2.59,,,
25,2.66,,,
25,2.75,,,
25,2.76,,,
25,2.87,,,
25,2.95,,,
25,3.02,,,
25,3.04,,,
25,3.1,,,
25,3.15,,,
25,3.15,,,
25,3.4,,,
25,3.41,,,
25,3.47,,,
25,3.51,,,
25,3.77,,,
25,3.98,,,
25,3.99,,,
25,4.25,,,
25,4.3,,,
25,4.51,,,
25,4.52,,,
25,4.56,,,
25,4.58,,,
25,4.62,,,
25,4.66,,,
25,4.76,,,
25,4.85,,,
25,4.92,,,
25,4.96,,,
25,5.13,,,
25,5.38,,,
25,5.46,,,
25,5.69,,,
25,5.95,,,
25,6.1,,,
25,6.1,,,
25,6.78,,,
25,6.86,,,
25,7.68,,,
25,7.83,,,
25,7.94,,,
25,8.03,,,
25,8.07,,,
25,8.12,,,
25,8.57,,,
25,8.65,,,
25,8.87,,,
25,9.22,,,
25,9.25,,,
25,10.2,,,
25,10.67,,,
25,11.92,,,
25,12.23,,,
25,12.58,,,
25,13.06,,,
25,14.27,,,
25,15.06,,,
25,16.5,,,
25,21.19,,,
25,26.34,,,
25,27.66,,,
25,29.58,,,
25,35.69,,,
25,38.98,,,
25,39.63,,,
25,47.76,,,
25,49.47,,,
25,52.91,,,
25,64.74,,,
25,65.71,,,
25,234.5,,,
26,1.01,,,
26,1.04,,,
26,1.08,,,
26,1.14,,,
26,1.14,,,
26,1.34,,,
26,1.4,,,
26,1.4,,,
26,1.49,,,
26,1.56,,,
26,1.6,,,
26,1.74,,,
26,1.82,,,
26,1.86,,,
26,2.14,,,
26,2.4,,,
26,2.4,,,
26,2.43,,,
26,2.64,,,
26,2.64,,,
26,2.65,,,
26,2.67,,,
26,2.68,,,
26,2.72,,,
26,2.78,,,
26,2.79,,,
26,2.81,,,
26,2.83,,,
26,2.95,,,
26,2.96,,,
26,2.988,,,
26,2.99,,,
26,3.02,,,
26,3.19,,,
26,3.22,,,
26,3.23,,,
26,3.28,,,
26,3.32,,,
26,3.34,,,
26,3.38,,,
26,3.47,,,
26,3.48,,,
26,3.53,,,
26,3.56,,,
26,3.76,,,
26,3.91,,,
26,4.03,,,
26,4.04,,,
26,4.04,,,
26,4.11,,,
26,4.12,,,
26,4.29,,,
26,4.33,,,
26,4.39,,,
26,4.41,,,
26,4.49,,,
26,4.52,,,
26,4.62,,,
26,4.69,,,
26,4.84,,,
26,4.99,,,
26,5.09,,,
26,5.39,,,
26,5.67,,,
26,5.75,,,
26,5.85,,,
26,5.86,,,
26,5.93,,,
26,6.11,,,
26,6.3,,,
26,6.51,,,
26,6.66,,,
26,6.74,,,
26,6.85,,,
26,7,,,
26,7.02,,,
26,7.13,,,
26,7.28,,,
26,7.38,,,
26,7.46,,,
26,7.51,,,
26,7.81,,,
26,7.83,,,
26,7.85,,,
26,8.93,,,
26,9.12,,,
26,9.54,,,
26,9.78,,,
26,9.8,,,
26,9.86,,,
26,10.23,,,
26,10.28,,,
26,11.51,,,
26,12.35,,,
26,12.37,,,
26,12.46,,,
26,12.55,,,
26,13.81,,,
26,15.31,,,
26,15.67,,,
26,16.19,,,
26,16.61,,,
26,17.24,,,
26,17.94,,,
26,19.21,,,
26,19.22,,,
26,20.18,,,
26,20.19,,,
26,20.45,,,
26,21.25,,,
26,21.64,,,
26,22.57,,,
26,22.7,,,
26,23.48,,,
26,26.74,,,
26,31.77,,,
26,31.91,,,
26,32.92,,,
26,38.17,,,
26,41,,,
26,90.18,,,
26,92.22,,,
26,429,,,
27,1.05,,,
27,1.07,,,
27,1.19,,,
27,1.25,,,
27,1.26,,,
27,1.36,,,
27,1.38,,,
27,1.39,,,
27,1.4,,,
27,1.41,,,
27,1.44,,,
27,1.56,,,
27,1.62,,,
27,1.69,,,
27,1.71,,,
27,1.71,,,
27,1.76,,,
27,1.81,,,
27,1.83,,,
27,1.87,,,
27,1.91,,,
27,2,,,
27,2.04,,,
27,2.05,,,
27,2.11,,,
27,2.16,,,
27,2.16,,,
27,2.17,,,
27,2.18,,,
27,2.19,,,
27,2.23,,,
27,2.26,,,
27,2.26,,,
27,2.29,,,
27,2.32,,,
27,2.34,,,
27,2.44,,,
27,2.45,,,
27,2.49,,,
27,2.6,,,
27,2.61,,,
27,2.62,,,
27,2.63,,,
27,2.63,,,
27,2.66,,,
27,2.88,,,
27,2.9,,,
27,2.92,,,
27,2.99,,,
27,3.04,,,
27,3.15,,,
27,3.18,,,
27,3.19,,,
27,3.23,,,
27,3.37,,,
27,3.51,,,
27,3.56,,,
27,3.57,,,
27,3.65,,,
27,3.71,,,
27,3.76,,,
27,3.78,,,
27,3.81,,,
27,3.83,,,
27,3.84,,,
27,3.9,,,
27,3.94,,,
27,3.96,,,
27,3.98,,,
27,4.02,,,
27,4.09,,,
27,4.1,,,
27,4.24,,,
27,4.26,,,
27,4.29,,,
27,4.42,,,
27,4.45,,,
27,4.52,,,
27,4.58,,,
27,4.58,,,
27,4.61,,,
27,4.66,,,
27,5,,,
27,5.02,,,
27,5.09,,,
27,5.3,,,
27,5.37,,,
27,5.39,,,
27,5.43,,,
27,5.5,,,
27,5.5,,,
27,5.6,,,
27,5.71,,,
27,5.72,,,
27,5.85,,,
27,6.04,,,
27,6.65,,,
27,6.91,,,
27,6.96,,,
27,7.16,,,
27,7.22,,,
27,7.47,,,
27,7.57,,,
27,7.58,,,
27,7.67,,,
27,7.86,,,
27,8,,,
27,8.31,,,
27,8.51,,,
27,8.61,,,
27,8.66,,,
27,8.68,,,
27,8.9,,,
27,9.44,,,
27,9.93,,,
27,10.46,,,
27,10.6,,,
27,10.6,,,
27,10.8,,,
27,11.44,,,
27,11.47,,,
27,11.6,,,
27,12.33,,,
27,12.5,,,
27,13.07,,,
27,13.34,,,
27,13.34,,,
27,14.37,,,
27,14.39,,,
27,15.61,,,
27,16.02,,,
27,17.61,,,
27,18.93,,,
27,19.63,,,
27,19.68,,,
27,20.16,,,
27,22,,,
27,25.56,,,
27,33.23,,,
27,33.52,,,
27,58.39,,,
27,69.53,,,
27,71.53,,,
27,100.43,,,
27,103.06,,,
28,1.01,,,
28,1.22,,,
28,1.51,,,
28,1.55,,,
28,1.67,,,
28,1.73,,,
28,1.78,,,
28,1.82,,,
28,1.84,,,
28,2.01,,,
28,2.14,,,
28,2.19,,,
28,2.2,,,
28,2.32,,,
28,2.37,,,
28,2.56,,,
28,2.7,,,
28,2.73,,,
28,2.85,,,
28,2.91,,,
28,2.97,,,
28,2.99,,,
28,3.03,,,
28,3.05,,,
28,3.12,,,
28,3.14,,,
28,3.17,,,
28,3.18,,,
28,3.18,,,
28,3.21,,,
28,3.22,,,
28,3.22,,,
28,3.29,,,
28,3.29,,,
28,3.31,,,
28,3.32,,,
28,3.33,,,
28,3.35,,,
28,3.49,,,
28,3.67,,,
28,3.71,,,
28,3.76,,,
28,3.78,,,
28,3.82,,,
28,4.06,,,
28,4.08,,,
28,4.1,,,
28,4.18,,,
28,4.24,,,
28,4.37,,,
28,4.47,,,
28,4.47,,,
28,4.53,,,
28,4.56,,,
28,4.63,,,
28,4.64,,,
28,4.77,,,
28,4.81,,,
28,4.83,,,
28,4.84,,,
28,4.86,,,
28,5.17,,,
28,5.38,,,
28,5.38,,,
28,5.43,,,
28,5.45,,,
28,5.69,,,
28,5.7,,,
28,5.99,,,
28,6.12,,,
28,6.15,,,
28,6.22,,,
28,6.33,,,
28,6.37,,,
28,6.4,,,
28,6.68,,,
28,6.7,,,
28,7.36,,,
28,7.37,,,
28,7.49,,,
28,7.68,,,
28,7.69,,,
28,7.8,,,
28,7.87,,,
28,8.8,,,
28,8.98,,,
28,9.41,,,
28,10.28,,,
28,10.42,,,
