C4,,,,,,,,,,,,,,,,,,,,,,
Spit,3mm Total,7mm+plotted total,Total Artefacts,Qtztite,Qtz,Crystal Qtz,Silcrete,Rare Quartzite (Brown and Dark Grey),Buff and Red Mudstone,Fine Qtzite,Chert,Volcanic,Mica,Glass,Gerowie Tuff,Thinning Flakes,Retouched,Points,Cores,Bipolar,Axe Flakes,Grindstones and Fragments
59,3,5,8,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,11,8,19,4,9,3,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
61,10,4,14,4,4,2,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0
62,9,0,9,3,2,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
63,2,12,14,2,7,0,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
64,15,12,27,7,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,9,0,9,3,5,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,4,0,4,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,6,0,6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,5,0,5,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
