Name,Northing,Easting,Elevation,Description,Date Taken
778,5010.768448,5000.179014,100.2076,PF_C2_12_HB558,26/06/2012
779,5012.529109,5002.210898,100.518022,PF_E2_SR1_CR,26/06/2012
780,5011.991221,5001.810683,100.305458,PF_E2_SR1_SC,26/06/2012
781,5010.579595,5000.448322,100.191636,PF_C2_12_HM66,26/06/2012
782,5012.098277,4999.951019,100.403804,PF_C3_SR2_CR,26/06/2012
783,5011.660716,4999.702411,100.264702,PF_C3_SR2_TV,26/06/2012
784,5011.323923,5000.660811,100.157839,EL_C2_12_N,26/06/2012
785,5010.847845,5001.066554,100.139323,EL_C2_12_E,26/06/2012
786,5010.268334,5000.350113,100.201747,EL_C2_12_S,26/06/2012
787,5010.652003,4999.997824,100.191952,EL_C2_12_W,26/06/2012
788,5010.661448,5000.457695,100.191747,EL_C2_12_C,26/06/2012
789,5010.495451,4999.729898,100.193695,PF_B3_12_M6,26/06/2012
790,5010.658218,4999.924017,100.234975,PF_B3_12_L161,26/06/2012
791,5010.834261,4999.336204,100.209297,PF_B3_12_L162,26/06/2012
792,5012.559421,5002.023728,100.359292,PF_E2_SR1_HM67,26/06/2012
793,5010.79992,4999.119321,100.202755,PF_B3_12_C14X42,26/06/2012
794,5011.054156,4999.232001,100.252594,PF_B3_12_L163,26/06/2012
795,5011.147223,4999.210966,100.237381,PF_B3_12_HB559,26/06/2012
796,5012.401473,5002.070903,100.297837,PF_E2_SR1_C14X43,26/06/2012
797,5010.930837,4999.406041,100.229275,PF_B3_12_HB560,26/06/2012
798,5012.846928,5001.569401,100.229186,PF_E3_SR10_HM68,26/06/2012
799,5011.22831,4999.263653,100.212041,PF_B3_12_L164,26/06/2012
800,5010.798222,4999.464686,100.26116,PF_B3_12_M7,26/06/2012
801,5012.339088,5001.92404,100.297521,PF_E2_SR1_OT2,26/06/2012
802,5010.643636,4999.796973,100.200602,PF_B3_12_HB561,26/06/2012
803,5010.651717,4999.837848,100.224694,PF_B3_12_HB562,26/06/2012
804,5011.571448,4999.160086,100.25475,PF_C4_12_HB563,26/06/2012
805,5010.835674,4999.48145,100.229529,PF_B3_12_SH3,26/06/2012
806,5011.75895,4999.316655,100.259058,PF_C4_12_HB564,26/06/2012
807,5011.671261,4999.142245,100.229313,PF_C4_12_R48,26/06/2012
808,5011.781494,4999.227106,100.300942,PF_C4_12_R48,26/06/2012
809,5011.672072,4999.290976,100.25101,PF_C4_12_R48,26/06/2012
810,5011.729883,4999.212561,100.369314,PF_C4_12_R48,26/06/2012
811,5012.213391,5002.011299,100.281942,PF_E2_SR1_C14X44,26/06/2012
812,5012.694091,5001.737943,100.238779,PF_E3_SR10_L165,26/06/2012
813,5011.832019,4999.352124,100.263192,PF_C4_12_HB565,26/06/2012
814,5011.683372,4998.980532,100.321995,PF_C4_12_HB565,26/06/2012
815,5011.753837,4999.306521,100.248305,PF_C4_12_HB566,26/06/2012
816,5012.569517,5001.533669,100.222225,PF_E3_SR10_L166,26/06/2012
817,5012.726026,4999.235063,100.221699,EL_C4_12_N,26/06/2012
818,5012.18395,4999.746299,100.240048,EL_C4_12_E,26/06/2012
819,5011.49811,4999.239475,100.225808,EL_C4_12_S,26/06/2012
820,5012.167365,4998.618547,100.233981,EL_C4_12_W,26/06/2012
821,5012.161742,4999.270954,100.232011,EL_C4_12_C,26/06/2012
822,5010.696289,4999.791687,100.207808,PF_B3_SR3_L167,26/06/2012
823,5012.57803,5001.64542,100.209028,PF_E3_11_SH4,26/06/2012
824,5011.626017,4999.575127,100.205025,PF_C3_12_HM69,26/06/2012
825,5011.254132,4999.447562,100.247674,PF_C3_12_L168,26/06/2012
826,5011.447283,4999.603491,100.226264,PF_C3_12_L169,26/06/2012
827,5010.956251,4999.478634,100.248243,PF_B3_12_HB567,26/06/2012
828,5010.965299,4999.437121,100.247536,PF_B3_12_HB568,26/06/2012
829,5010.94107,4999.419087,100.242585,PF_B3_12_HB569,26/06/2012
830,5010.974531,4999.399167,100.198124,PF_B3_12_HB570,26/06/2012
831,5010.939395,4999.452242,100.198286,PF_B3_12_HB571,26/06/2012
832,5010.986132,4999.419621,100.210546,PF_B3_12_HB572,26/06/2012
833,5010.950422,4999.425182,100.203991,PF_B3_12_HB573,26/06/2012
834,5011.10174,5000.139489,100.324474,PF_C2_SR3_CR,26/06/2012
835,5010.837334,4999.799677,100.222491,PF_B3_12_SH5,26/06/2012
836,5011.510565,5002.171853,99.767613,PF_E1_9_HM70,26/06/2012
837,5011.627628,5002.316962,99.767961,PF_E1_9_HM71,26/06/2012
838,5011.531458,5000.099456,100.419475,PF_C3_12_R49,26/06/2012
839,5011.456429,5000.194139,100.383793,PF_C3_12_R49,26/06/2012
840,5011.449117,5000.194687,100.384741,PF_C3_12_R49,26/06/2012
841,5011.474939,5000.108625,100.336457,PF_C3_12_R49,26/06/2012
842,5011.555248,5000.246015,100.276093,PF_C3_12_R49,26/06/2012
843,5011.529424,5000.183417,100.204584,PF_C3_12_R49,26/06/2012
844,5011.141198,4999.758936,100.230831,PF_C3_12_HB574,26/06/2012
845,5011.924801,4999.60713,100.251713,PF_C4_SR2_OT3,26/06/2012
846,5011.411034,5000.476093,100.197805,PF_C3_12_L170,26/06/2012
847,5011.645798,4999.712971,100.249102,C3_SR2_L171,26/06/2012
848,5011.707997,5000.306024,100.242036,PF_C3_12_L172,26/06/2012
849,5011.658168,4999.591394,100.238146,PF_C4_SR2_RFP,26/06/2012
850,5012.086529,4999.581112,100.372058,PF_C4_SR2_RFD,26/06/2012
851,5012.064175,4999.605187,100.27211,PF_C4_12_HB575,26/06/2012
852,5011.739942,5002.090124,100.406479,PF_E1_9_R50,26/06/2012
853,5011.588943,5002.019793,100.397361,PF_E1_9_R50,26/06/2012
854,5011.48829,5002.089692,100.380063,PF_E1_9_R50,26/06/2012
855,5011.579874,5002.215654,100.382578,PF_E1_9_R50,26/06/2012
