"","Sample","Depth below surface (m)","Water (%)","EDR_Beta","EDR_Gamma","EDR_Cosmic","EDR_total","De value (Gy)","Number of grains","OD (%)","Age (ka)","Sample.y","upper","lower","Elevation","Easting","Northing","year","X","Y","Xnew","Ynew","Xnew_flipped","Description","type","square","spit","cnr","find","findn","depth_below_ground_surface","total_station_depth_below_surf","osl_age","osl_error"
"45","NW3","0.54","3.0","0.24 ± 0.02","0.35 ± 0.01ǁ","0.087","0.71 ± 0.03","5.6 ± 0.1 (C)4.3 ± 0.2 (M)","181/400 (150)","28 ± 2","7.9 ± 0.4 (0.3)6.1 ± 0.4 (0.3)",NA,NA,NA,100.15561,4998.962033,5012.71364,"2012",-0.226769939366022,0.309205340886365,-0.379951344725929,0.0516674353309785,0.379951344725929,"OSL_NW3","OSL","NW3",NA,NA,"","",0.537603000000004,-0.537603000000004,7.9,NA
"46","SW1B","0.49","<1","0.30 ± 0.02","0.36 ± 0.02","0.090","0.78 ± 0.03","5.0 ± 0.1","178/400 (144)","33 ± 2","6.4 ± 0.3 (0.3)",NA,NA,NA,100.202579,4997.403552,5012.186171,"2015",-1.78525093936605,-0.21826365911329,-1.08313377143268,-1.43582073204802,1.08313377143268,"OSL_SW_1B","OSL","SW","1B",NA,"","",0.490634,-0.490634,6.4,NA
"47","NW2","0.33","1.6","0.32 ± 0.02","0.35 ± 0.02","0.089","0.79 ± 0.03","4.4 ± 0.1 (C)3.3 ± 0.2 (M)","129/400 (102)","27 ± 2","5.5 ± 0.34.1 ± 0.3 (0.3)",NA,NA,NA,100.359543,4998.965041,5012.749392,"2012",-0.223761939365431,0.34495734088614,-0.403579648888723,0.078666635511316,0.403579648888723,"OSL_NW2","OSL","NW2",NA,NA,"","",0.333669999999998,-0.333669999999998,5.5,NA
"48","NW1","0.19","4.4","0.32 ± 0.02","0.38 ± 0.02","0.091","0.83 ± 0.03","2.4 ± 0.2 (M)","96/400 (81)","55 ± 5","2.9 ± 0.2 (0.2)",NA,NA,NA,100.507363,4998.94221,5012.697701,"2012",-0.246592939365655,0.293266340886476,-0.382256000525764,0.0263358027024604,0.382256000525764,"OSL_NW1","OSL","NW1",NA,NA,"","",0.185850000000002,-0.185850000000002,2.9,NA
"49","NE8","-2.4","1.1","0.20 ± 0.02","0.31 ± 0.01","0.035","0.58 ± 0.03","45.7 ± 1.0","106/400 (84)","16 ± 2","78.6 ± 4.2 (3.4)",NA,NA,NA,98.3698145800259,NA,NA,NA,NA,NA,NA,NA,-1.82219831486994,NA,NA,NA,NA,NA,NA,NA,NA,-2.32339841997405,78.6,NA
"50","NE7","-2.10","<1","0.20 ± 0.02","0.31 ± 0.01","0.036","0.58 ± 0.03","39.2 ± 1.2","92/400 (77)","24 ± 2","67.1 ± 4.0 (3.4)",NA,NA,NA,98.5511123448792,NA,NA,NA,NA,NA,NA,NA,-1.82219831486994,NA,NA,NA,NA,NA,NA,NA,NA,-2.14210065512084,67.1,NA
"51","NE6","-1.80","3.0","0.25 ± 0.02","0.34 ± 0.01","0.037","0.66 ± 0.03","35.2 ± 0.5","251/400 (212)","20 ± 1","53.6 ± 2.6 (2.0)",NA,NA,NA,98.823058992159,NA,NA,NA,NA,NA,NA,NA,-1.81356508797217,NA,NA,NA,NA,NA,NA,NA,NA,-1.87015400784102,53.6,NA
"52","NE5","-1.50","<1","0.20 ± 0.02","0.33 ± 0.01","0.039","0.60 ± 0.03","24.9 ± 0.4","214/400 (182)","21 ± 1","41.6 ± 2.3 (1.7)",NA,NA,NA,99.0993222528877,NA,NA,NA,NA,NA,NA,NA,-1.81788170142105,NA,NA,NA,NA,NA,NA,NA,NA,-1.59389074711233,41.6,NA
"53","NE4","-1.2","<1","0.27 ± 0.02","0.33 ± 0.01","0.040","0.67 ± 0.03","20.5 ± 0.5","196/400 (173)","32 ± 2","30.4 ± 1.6 (1.4)",NA,NA,NA,99.4058018077586,NA,NA,NA,NA,NA,NA,NA,-1.79629863417662,NA,NA,NA,NA,NA,NA,NA,NA,-1.28741119224141,30.4,NA
"54","NE3","-0.90","<1","0.28 ± 0.02","0.34 ± 0.01","0.041","0.69 ± 0.03","11.2 ± 0.4","174/400 (152)","42 ± 3","16.1 ± 0.9 (0.8)",NA,NA,NA,99.7122813626295,NA,NA,NA,NA,NA,NA,NA,-1.78334879382997,NA,NA,NA,NA,NA,NA,NA,NA,-0.980931637370503,16.1,NA
"55","NE2","-0.60","<1","0.28 ± 0.02","0.35 ± 0.02","0.043","0.70 ± 0.03","7.6 ± 0.3","113/400 (91)","33 ± 3","10.9 ± 0.6 (0.5)",NA,NA,NA,100.355456766514,NA,NA,NA,NA,NA,NA,NA,-1.77039895348331,NA,NA,NA,NA,NA,NA,NA,NA,-0.337756233486488,10.9,NA
"56","NE1","-0.30","2.8","0.34 ± 0.02","0.37 ± 0.02","0.044","0.78 ± 0.03","0.6 ± 0.1","93/400 (93)","94 ± 6","0.80 ± 0.09 (0.08)",NA,NA,NA,100.450422262389,NA,NA,NA,NA,NA,NA,NA,-1.73586604589222,NA,NA,NA,NA,NA,NA,NA,NA,-0.242790737610989,0.8,NA
