Name,Northing ,Eastig,Elevation,Description,,Date Taken
2602,5012.831846,5001.657758,100.138021,PF_E2_12_C13X48,,30/06/2012
2603,5011.109341,4999.384634,100.164686,PF_B3_13_L241,,30/06/2012
2604,5012.397395,5001.651794,100.22015,PF_E2_SR16_CR,,30/06/2012
2605,5012.355223,5001.73405,100.25921,PF_E2_SR16_CR,,30/06/2012
2606,5012.287837,5001.750288,100.208803,PF_E2_SR16_CR,,30/06/2012
2607,5012.258172,5001.673689,100.200862,PF_E2_SR16_CR,,30/06/2012
2608,5012.271545,5001.571387,100.164578,PF_E2_SR16_CR,,30/06/2012
2609,5012.351775,5001.557282,100.183258,PF_E2_SR16_CR,,30/06/2012
2610,5012.388295,5001.587187,100.187056,PF_E2_SR16_CR,,30/06/2012
2611,5012.323737,5001.600855,100.26591,PF_E2_SR16_CR,,30/06/2012
2612,5012.299424,5001.675343,100.272323,PF_E2_SR16_CR,,30/06/2012
2613,5014.158582,5000.531639,100.21095,PF_E4_SR4_BP4,,30/06/2012
2614,5014.114155,5000.577992,100.20593,PF_E4_SR4_BP4,,30/06/2012
2615,5011.144705,4999.576155,100.111265,PF_B3_13_L242,,30/06/2012
2616,5011.113991,4999.204862,100.156311,PF_B3_13_C14X50,,30/06/2012
2617,5013.920005,5000.239929,100.169132,PF_E4_SR4_L243,,30/06/2012
2618,5012.319665,5001.928232,100.181148,PF_E2_SR16_L244,,30/06/2012
2619,5012.259685,5001.75392,100.111164,PF_E2_SR16_L245,,30/06/2012
2620,5012.361391,5001.838725,100.135254,PF_E2_SR16_L246,,30/06/2012
2621,5011.148082,4998.921594,100.145044,PF_B3_13_BP5,,30/06/2012
2622,5012.930125,4999.137306,100.146602,EL_C4_13_N,,30/06/2012
2623,5012.282091,4999.827707,100.148023,EL_C4_13_E,,30/06/2012
2624,5011.604769,4999.209201,100.134034,EL_C4_13_S,,30/06/2012
2625,5012.279105,4998.524231,100.123287,EL_C4_13_W,,30/06/2012
2626,5012.2898,4999.203787,100.158734,EL_C4_13_C,,30/06/2012
2627,5011.253537,4998.971395,100.169785,PF_B3_13_L247,,30/06/2012
2628,5012.275038,5002.104636,100.210432,PF_E2_SR16_L248,,30/06/2012
2629,5012.301115,5002.038811,100.123574,PF_E2_SR16_HB611,,30/06/2012
2630,5012.284713,5001.990968,100.145155,PF_E2_SR16_HB612,,30/06/2012
2631,5011.224669,4999.436983,100.149489,PF_B3_13_L249,,30/06/2012
