Name,Northing,Easting,Elevation,Description
72,4996.660685,5002.884877,101.086062,R61
73,4996.577734,5002.830462,101.00177,R62
74,4996.250355,5002.489087,101.028837,R63
75,4996.152761,5002.637763,101.133056,R64
76,4996.0135,5002.845792,101.263458,R65
77,4995.815196,5003.329648,101.279257,R66
78,4995.73901,5003.843722,101.270602,R67
79,4995.584701,5004.355142,101.301385,R68
80,4995.387147,5004.903887,101.310122,R69
81,4995.253703,5005.24936,101.311896,R70
82,4995.090738,5005.484349,101.266573,R71
83,4994.794119,5005.38646,101.16607,R72
84,4994.974604,5005.113023,101.353145,R73
85,4994.971644,5004.733182,101.368795,R74
86,4994.994408,5004.094879,101.347167,R75
87,4995.191082,5003.965506,101.334815,R76
88,4995.321377,5003.478758,101.346027,R77
89,4995.388493,5002.946648,101.334105,R78
90,4995.330376,5002.603651,101.30894,R79
91,4995.370886,5002.353369,101.23482,R80
92,4995.499983,5002.031596,100.915736,R81
93,4989.68504,5009.531579,103.659319,BR
94,4989.577069,5009.566934,103.356396,BR
95,4989.286629,5009.884242,103.036354,BR
96,4989.229377,5009.944383,102.967127,BR
97,4989.190296,5009.980583,102.939817,BR
98,4989.126775,5010.039243,102.88388,BR
99,4989.141654,5010.02551,102.868452,BR
100,4989.153362,5010.014695,102.821066,BR
101,4989.08051,5010.082005,102.813327,BR
102,4989.023239,5010.134767,102.766427,BR
103,4989.10482,5010.059506,102.715123,BR
104,4989.050192,5010.110043,102.690868,BR
105,4989.031795,5010.126947,102.674504,BR
106,4988.980646,5010.174331,102.599664,BR
107,4988.842733,5010.30184,102.48357,BR
108,4988.840658,5010.303618,102.428039,BR
109,4988.733533,5010.402541,102.373413,BR
110,4988.679982,5010.452066,102.333723,BR
111,4988.647694,5010.481861,102.292961,BR
112,4988.593038,5010.532477,102.185184,BR
113,4988.53055,5010.590207,102.124345,BR
114,4988.370059,5010.738382,102.076164,BR
115,4988.413614,5010.698303,102.052775,BR
116,4988.361376,5010.746513,102.043124,BR
117,4988.48571,5010.633018,101.930757,BR
118,4988.628995,5010.50079,101.827094,BR
119,4988.43685,5010.678271,101.740898,BR
120,4988.37917,5010.73154,101.706813,BR
121,4988.333425,5010.773889,101.594951,BR
122,4988.276044,5010.826996,101.418049,BR
123,4988.187554,5010.908776,101.332634,BR
124,4988.178884,5010.91678,101.322625,BR
125,4988.144933,5010.948177,101.307904,BR
126,4988.862456,5011.107769,101.247022,BR
127,4988.871441,5011.098845,101.300677,BR
128,4988.859821,5011.110443,101.310626,BR
129,4984.089608,5002.419057,101.152921,SS
130,4984.136423,5002.411954,101.275618,BS
131,4984.146634,5002.410512,101.288968,BS
132,4984.198078,5002.402572,101.374331,BS
133,4984.263111,5002.392779,101.391298,BS
134,4984.351975,5002.379148,101.405341,BS
135,4984.435777,5002.366477,101.508536,BS
136,4984.410406,5002.370362,101.542692,BS
137,4984.316208,5002.384619,101.70209,BS
138,4984.246477,5002.39524,101.799373,BS
139,4984.35526,5002.378627,101.989797,BS
140,4984.367945,5002.376659,102.022638,BS
141,4984.319069,5002.384104,102.012824,BS
142,4984.373918,5002.375677,102.090631,BS
143,4984.368408,5002.3766,102.107225,BS
144,4984.382414,5002.374481,102.121737,BS
145,4984.616408,5002.338841,102.366112,BS
146,4984.936664,5002.290561,102.537519,BS
147,4985.666365,5002.177714,103.121449,BS
148,4985.973741,5002.131075,103.703543,BR
149,4987.479804,5001.902163,103.940543,BR
150,4986.523104,5002.047515,104.748694,BR
151,4986.59156,5002.037,107.189554,BR
152,4986.640922,5002.026433,107.389834,BR
153,4988.45136,5001.75106,107.233216,BR
154,4986.984305,5001.973693,108.228539,BR
155,4986.978533,5001.974554,108.270251,BR
156,4986.88619,5001.988612,108.54944,BR
157,4987.041113,5001.96507,108.608919,BR
158,4987.045681,5001.964321,108.647817,BR
159,4987.069785,5001.960753,108.679892,BR
160,4987.265925,5001.931024,108.588252,BR
161,4987.146944,5001.949,108.81984,BR
162,4987.453802,5001.902267,108.705509,BR
163,4987.130007,5001.951285,109.028568,BR
164,4987.098441,5001.956128,109.174608,BR
165,4987.161396,5001.9468,109.215332,BR
166,4987.308755,5001.924631,109.258109,BR
167,4987.291685,5001.927335,109.346074,BR
168,4986.95959,5001.977594,109.610287,BR
169,4987.347377,5001.918593,109.413663,BR
170,4987.008729,5001.969948,109.680299,BR
171,4987.217459,5001.938306,109.611912,BR
172,4987.220271,5001.937934,109.690725,BR
173,4987.242059,5001.934726,109.755543,BR
174,4987.301458,5001.925597,109.732765,BR
175,4987.280094,5001.928845,109.866061,BR
176,4987.186603,5001.94311,109.942218,BR
177,4987.194977,5001.941734,110.002571,BR
178,4987.167177,5001.946015,110.041541,BR
179,4987.215375,5001.938599,110.04159,BR
180,4987.270044,5001.930307,110.152653,BR
181,4987.270614,5001.930155,110.172528,BR
182,4987.220239,5001.93784,110.331209,BR
183,4987.197619,5001.941263,110.394284,BR
184,4987.169786,5001.945507,110.480872,BR
185,4987.223428,5001.937373,110.528132,BR
186,4987.111167,5001.954384,110.674727,BR
187,4987.018847,5001.968444,110.783168,BR
188,4986.841627,5001.995486,110.967948,BR
189,4987.040733,5001.965424,110.88674,BR
190,4987.012283,5001.968534,110.96353,BR
191,4987.08854,5001.958788,110.93625,BR
192,4986.794141,5002.003523,111.210108,BR
193,4986.778028,5002.006117,111.357709,BR
194,4986.688763,5002.019709,111.709721,BR
195,4986.563374,5001.702101,111.604202,BR
196,4986.541318,5001.553436,111.602808,BR
197,4986.512271,5001.502193,111.59171,BR
198,4986.399846,5001.52936,111.545695,BR
199,4986.610127,5001.501123,111.368721,BR
200,4986.434317,5001.463206,111.436711,BR
201,4986.119128,5001.493,111.584905,BR
202,4986.07571,5001.482834,111.615272,BR
203,4986.071702,5001.477398,111.632412,BR
204,4986.002253,5001.46221,111.689106,BR
205,4986.341602,5001.38073,111.374961,BR
206,4985.961616,5001.449836,111.563064,BR
207,4985.761645,5001.438543,111.703888,BR
208,4985.869239,5001.383044,111.42941,BR
209,4985.799351,5001.364526,111.388011,BR
210,4986.042703,5001.294828,111.215813,BR
211,4986.00437,5001.245141,111.190982,BR
212,4986.131166,5001.211588,111.012392,BR
213,4986.243216,5001.102774,110.904566,BR
214,4986.403101,5000.958688,110.707322,BR
215,4986.223124,5000.927506,110.736948,BR
216,4986.135975,5000.857044,110.751584,BR
217,4986.176833,5000.821108,110.680141,BR
218,4985.988524,5000.780112,110.757252,BR
219,4986.072816,5000.764951,110.665017,BR
220,4985.989323,5000.72405,110.678293,BR
221,4986.02873,5000.712725,110.577043,BR
222,4986.141926,5000.639005,110.456865,BR
223,4986.078823,5000.602958,110.47063,BR
224,4986.034276,5000.574435,110.495916,BR
225,4986.067423,5000.573046,110.39657,BR
226,4986.333819,5000.539636,110.222234,BR
227,4986.03583,5000.559863,110.332148,BR
228,4986.167279,5000.482801,110.209608,BR
229,4985.682163,5000.489609,110.459647,BR
230,4986.043419,5000.445798,110.2187,BR
231,4985.792212,5000.406181,110.319796,BR
232,4985.528681,5000.370248,110.43438,BR
233,4985.37835,5000.274786,110.42322,BR
234,4985.362053,5000.209762,110.339484,BR
235,4985.186966,5000.156933,110.402041,BR
236,4984.921787,5000.063624,110.50945,BR
237,4984.965881,5000.00294,110.432424,BR
238,4985.011374,4999.901702,110.366613,BR
239,4984.875628,4999.8772,110.224947,BR
240,4985.248036,4999.865006,109.877388,BR
241,4985.440433,4999.792026,109.698991,BR
242,4985.145406,4999.687004,109.783075,BR
243,4985.321383,4999.669953,109.394473,BR
244,4984.016133,4999.377195,110.323002,BR
245,4983.852696,4999.262194,110.322251,BR
246,4984.217108,4999.242652,109.660481,BR
247,4984.227552,4999.203596,109.617355,BR
248,4987.224013,4999.238197,108.253404,BR
249,4986.508012,5000.72718,108.116446,BR
250,4986.71811,5001.04504,108.295992,BR
251,4986.936091,5001.423531,108.643801,BR
252,4987.397979,5002.283361,108.462623,BR
253,4985.961763,5002.56033,112.706578,BR
254,4986.024448,5002.475926,112.646457,BR
255,4986.114593,5002.596905,112.576341,BR
256,4986.507947,5002.539583,112.222075,BR
257,4986.718157,5002.518963,112.057837,BR
258,4986.184617,5002.620018,112.530942,BR
259,4986.014356,5002.674486,112.776933,BR
260,4986.125023,5002.730565,112.839122,BR
261,4986.161078,5002.749029,112.854924,BR
262,4986.053507,5002.825262,112.972559,BR
263,4986.308143,5002.819009,112.723766,BR
264,4986.374091,5002.835004,112.723454,BR
265,4986.476375,5002.861617,112.6842,BR
266,4986.447043,5002.957077,112.72381,BR
267,4986.440883,5002.998883,112.746149,BR
268,4986.562772,5003.118751,112.619396,BR
269,4986.616372,5003.118666,112.577905,BR
270,4986.636906,5003.12582,112.620392,BR
271,4986.755541,5003.136538,112.58779,BR
272,4986.839604,5003.124291,112.561965,BR
273,4986.753895,5003.166111,112.678608,BR
274,4986.786962,5003.196894,112.681423,BR
275,4986.998512,5003.208363,112.507171,BR
276,4986.723236,5003.340284,112.696526,BR
277,4986.645188,5003.369896,112.661301,BR
278,4986.629207,5003.347374,112.509826,BR
279,4987.05797,5003.23624,112.114255,BR
280,4986.779685,5003.110183,112.305916,BR
281,4986.726807,5003.466524,112.462424,BR
282,4987.09874,5003.656933,112.471113,BR
283,4987.082887,5003.672965,112.542926,BR
284,4987.098546,5003.575262,112.574871,BR
285,4987.013718,5003.580962,112.718204,BR
286,4987.04624,5003.617349,112.706337,BR
287,4987.09846,5003.617229,112.664563,BR
288,4987.060579,5003.635917,112.739995,BR
289,4987.111609,5003.707727,112.715814,BR
