Name,Northing,Easting,Elevation,Description
201,5011.832546,5000.946334,100.549364,PF_D2_4_HMB24
202,5011.428011,4999.370124,100.599228,PF_C3_4A_SF1
203,5011.478122,4999.609540,100.606174,PF_C3_4A_SF1
204,5011.444950,4999.764251,100.622504,PF_C3_4A_SF1
205,5011.265639,4999.887575,100.616560,PF_C3_4A_SF1
206,5011.043974,4999.818141,100.578195,PF_C3_4A_SF1
207,5011.518481,5000.796994,100.547907,PF_D2_4_HB25
208,5011.576593,4999.595774,100.573253,PF_C3_4A_L11
209,5011.816257,5001.261697,100.549743,PF_D2_4_HB26
210,5011.850017,5001.423431,100.559076,PF_D2_4_HB27
211,5011.576574,5001.456422,100.563377,PF_D2_4_HB28
212,5011.976238,5001.350169,100.536299,PF_D2_4_HB29
213,5011.159712,5000.100307,100.629254,PF_C3_4B_R1
214,5011.088993,5000.061348,100.567111,PF_C3_4B_R1
215,5011.754310,5001.502275,100.561034,PF_D2_4_HB30
216,5011.947975,5000.186799,100.671716,EL_C3_4B_N
217,5011.628038,5000.528313,100.563116,EL_C3_4B_E
218,5011.023958,4999.980554,100.575187,EL_C3_4B_S
219,5011.541881,5000.018974,100.622233,EL_C3_4B_W
220,5011.974780,5001.594700,100.553878,PF_D2_4_HB31
221,5011.824482,5001.741081,100.570760,PF_D2_4_HB32
222,5011.712173,5001.894096,100.572596,PF_D2_4_HB33
223,5011.941546,4999.957264,100.919709,PF_C3_4_L12
224,5012.310934,5001.253519,100.548884,EL_D2_4_N
225,5011.804201,5001.802312,100.570917,EL_D2_4_E
226,5011.629599,5000.548502,100.565020,EL_D2_4_W
227,5011.248707,5001.006983,100.557789,EL_D2_4_S
228,5011.682074,5001.181947,100.535676,EL_D2_4_C
229,5011.982169,4999.566973,100.601702,PF_C3_4_L13
230,5011.927388,5000.817180,100.559945,PF_D3_4A_L14
231,5011.834729,5000.690480,100.579607,PF_D3_4A_HM4
232,5012.290691,4999.818784,100.589691,EL_C3_4_N
233,5011.757043,5000.399515,100.574478,EL_C3_4_E
234,5011.513329,4999.861123,100.574962,EL_C3_4_S
235,5011.614997,4999.173619,100.587800,EL_C3_4_W
236,5011.731813,5000.197471,100.576968,ROCK9
237,5011.461323,5000.213974,100.564872,ROCK9
238,5011.539994,4999.869794,100.577608,ROCK9
239,5011.748424,4999.289674,100.588899,PF_C4_4_HM5
240,5012.621797,5000.849565,100.614681,PF_D3_4_HM6
241,5012.000465,5000.172577,100.645778,PF_D3_4_HM7
242,5012.038056,5000.298391,100.590850,PF_D3_4_L15
243,5012.477596,5000.027898,100.595483,PF_D3_4_L16
244,5012.312664,4999.358336,100.581021,PF_C4_4_R2
245,5012.516879,4999.225320,100.614387,PF_C4_4_L17
