Description,Easting,Northing,Elevation,year,X,Y,Xnew,Ynew,Xnew_flipped,type,square,spit,cnr,find,findn,depth_below_ground_surface
EL_E4_2_S,5000.559872,5013.069616,100.843812,2012,1.3710690606339995,0.6651813408861926,0.4739331865046923,1.4483383306466964,-0.4739331865046923,EL,E4,2,S,,,-0.1505989999999997
EL_E4_2_W,4999.835225,5013.733429,100.869645,2012,0.646422060633995,1.328994340886311,-0.506956028555598,1.3881941592202713,0.506956028555598,EL,E4,2,W,,,-0.17643200000000547
EL_E4_2_C,5000.482722,5013.721819,100.834642,2012,1.2939190606339253,1.317384340886747,-0.0488152825769389,1.8458995382393706,0.0488152825769389,EL,E4,2,C,,,-0.14142900000000225
SL_E1_1_N,5002.335478,5012.05142,100.967955,2012,3.146675060634152,-0.35301465911379637,2.439801664387622,2.0183040219990556,-2.439801664387622,SL,E1,1,N,,,-0.2747420000000034
SL_E1_1_S,5002.109284,5011.808554,100.954954,2012,2.9204810606343017,-0.5958806591133907,2.4573772888888783,1.686884775401749,-2.4573772888888783,SL,E1,1,S,,,-0.26174100000000067
SL_E1_1_E,5002.41071,5011.966053,100.978184,2012,3.221907060634294,-0.4383816591134746,2.55347008364937,2.0131204927474853,-2.55347008364937,SL,E1,1,E,,,-0.28497099999999875
EL_E1_1_N,5002.362136,5012.058865,100.927954,2012,3.1733330606339223,-0.3455696591136075,2.452964382413501,2.0426519139645167,-2.452964382413501,EL,E1,1,N,,,-0.23474099999999964
EL_E1_1_S,5002.149444,5011.82068,100.916218,2012,2.9606410606338613,-0.5837546591137652,2.476552054627569,1.7241968891829584,-2.476552054627569,EL,E1,1,S,,,-0.22300500000000056
EL_E1_2_S,5002.025165,5011.783565,100.847499,2012,2.836362060634201,-0.6208696591138505,2.4169189036951617,1.6090158127172702,-2.4169189036951617,EL,E1,2,S,,,-0.15428599999999904
EL_E1_2_E,5002.348815,5011.905144,100.85594,2012,3.1600120606344717,-0.4992906591132851,2.5542884717086247,1.926286009119497,-2.5542884717086247,EL,E1,2,E,,,-0.16272700000000384
EL_E1_2_N,5002.357423,5012.189496,100.853352,2012,3.1686200606345665,-0.21493865911361354,2.3557223800559415,2.1300055830774087,-2.3557223800559415,EL,E1,2,N,,,-0.16013900000000092
PF_B3_3_BP1,5000.412164,5012.091239,100.913194,2012,1.2233610606344882,-0.3131956591132621,1.0751121037568103,0.6624483149044429,-1.0751121037568103,PF,B3,3,,BP,1,-0.2199810000000042
PF_C3_3_L1,4999.941852,5011.6604,100.89404,2012,0.7530490606341118,-0.7440346591138223,1.0583255764677442,0.02484825705672733,-1.0583255764677442,PF,C3,3,,L,1,-0.20082700000000386
PF_C3_3_L2,5000.007823,5011.986692,100.886916,2012,0.8190200606341023,-0.41774265911317343,0.8694380616927221,0.2989652920391195,-0.8694380616927221,PF,C3,3,,L,2,-0.1937029999999993
PF_C3_3_M1,5000.480783,5011.73651,100.863732,2012,1.2919800606341596,-0.6679246591138508,1.377949554513861,0.46539322356868584,-1.377949554513861,PF,C3,3,,M,1,-0.17051899999999875
EL_D3_3_N,5000.549167,5013.010667,100.836138,2012,1.3603640606343106,0.6062323408859811,0.5089012305394601,1.3996883818039607,-0.5089012305394601,EL,D3,3,N,,,-0.1429250000000053
EL_D3_3_E,5001.247491,5012.403205,100.861149,2012,2.0586880606342675,-0.0012296591139602242,1.4309694362251144,1.4800420654998951,-1.4309694362251144,EL,D3,3,E,,,-0.16793599999999742
EL_D3_3_S,5000.620142,5011.649288,100.862178,2012,1.4313390606339453,-0.7551466591139615,1.537498706427725,0.5050502064156741,-1.537498706427725,EL,D3,3,S,,,-0.16896500000000003
EL_D3_3_W,4999.863359,5012.298415,100.868593,2012,0.6745560606341314,-0.10601965911337174,0.544850174281931,0.4115875783374699,-0.544850174281931,EL,D3,3,W,,,-0.1753800000000041
EL_D3_3_C,5000.602205,5012.267138,100.852078,2012,1.4134020606343256,-0.13729665911341726,1.080594523597439,0.9213420826057428,-1.080594523597439,EL,D3,3,C,,,-0.1588650000000058
